Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
179258;74414;4,8088;37277;37659;36189
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
405;1181;70;148;0,56252;0,16033;0,338991
415;911;70;124;0,41326;0,15270;0,270498
425;1509;81;166;0,65270;0,16848;0,345278
435;1162;84;154;0,47977;0,16678;0,305761
445;1131;64;146;0,44622;0,12142;0,276996
455;1399;89;197;0,52796;0,16151;0,357507
465;1242;100;181;0,44877;0,17375;0,314496
475;1036;99;193;0,35874;0,16485;0,321376
485;1145;76;184;0,38030;0,12139;0,293885
495;1130;126;210;0,36031;0,19320;0,321998
505;1206;97;198;0,36946;0,14290;0,291694
515;1247;123;222;0,36733;0,17424;0,314473
525;1099;113;218;0,31152;0,15403;0,297155
535;1119;137;211;0,30544;0,17983;0,276963
545;999;113;202;0,26277;0,14293;0,255508
555;1207;144;244;0,30615;0,17564;0,297612
565;1387;149;276;0,33946;0,17536;0,324833
575;1320;138;270;0,31192;0,15682;0,306815
585;1456;157;291;0,33240;0,17236;0,319470
595;1287;133;267;0,28402;0,14115;0,283352
605;1380;150;296;0,29456;0,15397;0,303829
615;1376;155;282;0,28424;0,15397;0,280123
625;1745;171;351;0,34902;0,16447;0,337595
635;1409;159;298;0,27301;0,14815;0,277663
645;1408;187;275;0,26442;0,16888;0,248350
655;1196;186;221;0,21780;0,16288;0,193535
665;1505;179;328;0,26589;0,15208;0,278664
675;1535;216;302;0,26322;0,17811;0,249029
685;1585;194;354;0,26391;0,15534;0,283448
695;1515;216;298;0,24505;0,16801;0,231792
705;1714;207;362;0,26943;0,15647;0,273641
715;1670;200;364;0,25522;0,14698;0,267511
725;1427;212;291;0,21211;0,15153;0,208003
735;1458;215;328;0,21086;0,14953;0,228114
745;1720;244;364;0,24212;0,16517;0,246400
755;1246;233;275;0,17078;0,15357;0,181256
765;1359;223;277;0,18143;0,14316;0,177832
775;1334;263;294;0,17353;0,16451;0,183906
785;1341;259;272;0,17002;0,15791;0,165837
795;1434;266;270;0,17727;0,15812;0,160503
805;1589;267;349;0,19158;0,15480;0,202342
815;1788;247;383;0,21031;0,13971;0,216639
825;2051;319;399;0,23544;0,17609;0,220251
835;2053;301;403;0,23006;0,16220;0,217163
845;2094;283;439;0,22913;0,14891;0,230996
855;2483;311;526;0,26538;0,15984;0,270338
865;2463;312;510;0,25719;0,15667;0,256090
875;2257;308;491;0,23032;0,15114;0,240946
885;2302;335;462;0,22963;0,16070;0,221620
895;2453;346;515;0,23926;0,16229;0,241555
905;2199;291;511;0,20977;0,13349;0,234411
915;2453;380;494;0,22891;0,17053;0,221686
925;2087;354;415;0,19057;0,15544;0,182230
935;2300;345;479;0,20555;0,14827;0,205858
945;2399;371;456;0,20989;0,15609;0,191847
955;2656;395;545;0,22753;0,16272;0,224515
965;2492;391;469;0,20908;0,15775;0,189223
975;2768;391;598;0,22750;0,15453;0,236345
985;2710;441;557;0,21823;0,17077;0,215694
995;2711;407;573;0,21394;0,15446;0,217452
1005;2496;410;500;0,19308;0,15251;0,185991
1015;2866;432;638;0,21735;0,15755;0,232672
1025;2395;431;470;0,17810;0,15413;0,168076
1035;2146;443;432;0,15652;0,15537;0,151516
1045;2313;472;487;0,16549;0,16239;0,167553
1055;2191;457;483;0,15380;0,15426;0,163041
1065;2184;465;464;0,15044;0,15403;0,153700
1075;2325;523;472;0,15719;0,17004;0,153455
1085;2220;471;464;0,14734;0,15032;0,148086
1095;2209;526;454;0,14394;0,16482;0,142260
1105;2276;537;447;0,14564;0,16524;0,137543
1115;2038;515;402;0,12808;0,15564;0,121488
1125;2193;503;490;0,13538;0,14932;0,145461
1135;2097;576;436;0,12718;0,16799;0,127160
1145;1794;527;417;0,10691;0,15103;0,119504
1155;1821;563;367;0,10665;0,15856;0,103361
1165;2003;570;402;0,11530;0,15779;0,111283
1175;1949;597;421;0,11029;0,16246;0,114568
1185;1941;616;397;0,10800;0,16482;0,106221
1195;1803;583;353;0,09865;0,15339;0,092874
1205;2067;616;432;0,11122;0,15939;0,111780
1215;1622;611;317;0,08585;0,15551;0,080679
1225;1817;669;403;0,09460;0,16750;0,100900
1235;1776;626;359;0,09098;0,15420;0,088434
1245;1607;622;349;0,08100;0,15077;0,084595
1255;1753;677;378;0,08696;0,16149;0,090170
1265;1835;695;354;0,08959;0,16318;0,083115
1275;1743;695;328;0,08377;0,16063;0,075807
1285;1919;714;421;0,09080;0,16246;0,095793
1295;1741;688;355;0,08111;0,15414;0,079533
1305;1685;702;349;0,07730;0,15487;0,076995
1315;1674;751;321;0,07564;0,16317;0,069745
1325;1682;753;345;0,07485;0,16115;0,073832
1335;1869;742;380;0,08193;0,15642;0,080108
1345;1655;735;337;0,07148;0,15265;0,069991
1355;1867;811;366;0,07945;0,16596;0,074896
1365;1952;805;408;0,08185;0,16233;0,082272
1375;2051;808;406;0,08476;0,16057;0,080682
1385;1798;806;377;0,07323;0,15787;0,073841
1395;2047;823;430;0,08218;0,15889;0,083019
1405;0;0;0;0,00000;0,00000;0,000000
1415;0;0;0;0,00000;0,00000;0,000000
