Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
106204;46638;4,5412;23387;23571;23242
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
855;2200;265;473;0,23513;0,12862;0,229568
865;2681;298;635;0,27995;0,14131;0,301109
875;2109;285;414;0,21522;0,13207;0,191852
885;2339;295;497;0,23332;0,13363;0,225140
895;2471;336;545;0,24101;0,14883;0,241398
905;2493;309;557;0,23782;0,13386;0,241291
915;2241;324;481;0,20913;0,13730;0,203838
925;2146;335;435;0,19596;0,13891;0,180380
935;2100;310;469;0,18768;0,12581;0,190341
945;2519;369;533;0,22038;0,14660;0,211762
955;2642;316;615;0,22633;0,12293;0,239250
965;2788;348;647;0,23391;0,13259;0,246509
975;2420;338;538;0,19889;0,12615;0,200797
985;2786;375;621;0,22435;0,13713;0,227093
995;2611;369;562;0,20605;0,13224;0,201407
1005;2591;405;536;0,20043;0,14227;0,188285
1015;2853;423;618;0,21637;0,14568;0,212834
1025;2416;396;535;0,17967;0,13373;0,180672
1035;2349;440;486;0,17132;0,14573;0,160968
1045;2098;409;455;0,15010;0,13288;0,147830
1055;1954;409;391;0,13716;0,13038;0,124640
1065;2240;432;477;0,15430;0,13514;0,149212
1075;2289;453;509;0,15476;0,13908;0,156273
1085;2126;383;554;0,14110;0,11543;0,166969
1095;2387;485;546;0,15554;0,14352;0,161566
1105;2277;445;509;0,14570;0,12931;0,147903
1115;2300;526;485;0,14454;0,15011;0,138413
1125;2035;455;443;0,12563;0,12755;0,124189
1135;2190;525;446;0,13282;0,14459;0,122837
1145;1678;499;342;0,10000;0,13504;0,092555
1155;2044;539;435;0,11971;0,14335;0,115694
1165;1809;503;407;0,10414;0,13149;0,106397
1175;1670;534;333;0,09451;0,13723;0,085576
1185;2138;599;452;0,11896;0,15135;0,114205
1195;1880;553;359;0,10286;0,13740;0,089196
1205;1858;541;433;0,09997;0,13219;0,105803
1215;1707;559;401;0,09034;0,13435;0,096378
1225;1816;568;403;0,09455;0,13430;0,095284
1235;1672;563;362;0,08565;0,13097;0,084209
1245;1689;534;404;0,08514;0,12223;0,092476
1255;1620;610;356;0,08036;0,13741;0,080195
1265;1844;612;426;0,09003;0,13569;0,094453
1275;1856;642;404;0,08920;0,14012;0,088175
1285;1646;613;338;0,07788;0,13172;0,072627
1295;1923;657;430;0,08959;0,13900;0,090973
1305;1797;669;392;0,08244;0,13938;0,081668
1315;1570;635;357;0,07094;0,13029;0,073249
1325;1738;694;401;0,07735;0,14025;0,081040
1335;1879;730;415;0,08237;0,14533;0,082617
1345;1719;659;380;0,07424;0,12925;0,074529
1355;0;0;0;0,00000;0,00000;0,000000
1365;0;0;0;0,00000;0,00000;0,000000
