Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
99574;42750;4,6519;21405;21594;21200
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
405;1117;140;194;0,53204;0,31020;0,429855
415;1346;129;253;0,61059;0,27222;0,533894
425;1171;121;224;0,50650;0,24347;0,450715
435;1218;150;243;0,50289;0,28810;0,466724
445;978;111;211;0,38585;0,20372;0,387254
455;1465;166;289;0,55286;0,29142;0,507352
465;1212;162;241;0,43793;0,27230;0,405085
475;1218;140;281;0,42176;0,22552;0,452642
485;951;166;198;0,31587;0,25648;0,305927
495;1244;173;273;0,39666;0,25661;0,404939
505;1336;167;298;0,40929;0,23800;0,424689
515;1177;173;263;0,34671;0,23707;0,360396
525;1201;198;243;0,34043;0,26109;0,320425
535;989;174;231;0,26996;0,22094;0,293321
545;1278;227;259;0,33616;0,27776;0,316918
555;1173;196;243;0,29752;0,23127;0,286722
565;1218;235;261;0,29810;0,26755;0,297156
575;1249;218;251;0,29515;0,23964;0,275917
585;1348;260;280;0,30774;0,27612;0,297363
595;1439;252;321;0,31757;0,25871;0,329544
605;1376;244;305;0,29371;0,24228;0,302852
615;1509;278;314;0,31171;0,26714;0,301732
625;1431;245;309;0,28621;0,22795;0,287502
635;1590;303;327;0,30808;0,27311;0,294743
645;1440;290;299;0,27043;0,25335;0,261213
655;1195;274;262;0,21762;0,23212;0,221954
665;1410;337;299;0,24911;0,27697;0,245738
675;1414;317;291;0,24247;0,25287;0,232129
685;1686;335;352;0,28073;0,25948;0,272650
695;1413;314;308;0,22855;0,23627;0,231753
705;1713;348;355;0,26927;0,25448;0,259594
715;1677;361;357;0,25629;0,25665;0,253805
725;1469;334;323;0,21835;0,23095;0,223343
735;1644;366;376;0,23776;0,24624;0,252964
745;1484;399;317;0,20890;0,26128;0,207583
755;1461;425;312;0,20025;0,27098;0,198933
765;1325;367;306;0,17689;0,22792;0,190040
775;1317;393;289;0,17132;0,23781;0,174880
785;1254;397;293;0,15899;0,23415;0,172812
795;1514;453;312;0,18716;0,26050;0,179418
805;1484;410;296;0,17892;0,22995;0,166015
815;1717;521;350;0,20196;0,28508;0,191513
825;1974;472;419;0,22660;0,25205;0,223745
835;2051;483;446;0,22983;0,25178;0,232492
845;2348;513;484;0,25692;0,26113;0,246365
855;2236;505;462;0,23898;0,25108;0,229698
865;2277;511;490;0,23776;0,24822;0,238019
875;2342;501;484;0,23899;0,23783;0,229761
885;2453;554;565;0,24470;0,25708;0,262186
895;2325;495;514;0,22677;0,22460;0,233219
905;2276;541;498;0,21712;0,24008;0,220994
915;2405;569;534;0,22443;0,24701;0,231818
925;2280;633;513;0,20819;0,26889;0,217912
935;2139;588;430;0,19116;0,24446;0,178769
945;2545;620;569;0,22266;0,25233;0,231578
955;2300;649;462;0,19703;0,25863;0,184112
965;2755;651;598;0,23114;0,25408;0,233397
975;2608;679;574;0,21435;0,25960;0,219458
985;2717;667;571;0,21879;0,24986;0,213901
995;2692;694;578;0,21244;0,25478;0,212192
1005;0;0;0;0,00000;0,00000;0,000000
1015;0;0;0;0,00000;0,00000;0,000000
