Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
105572;46610;4,5257;23327;23514;23097
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
755;1503;263;349;0,20601;0,16314;0,216489
765;1360;251;320;0,18156;0,15165;0,193345
775;1206;275;260;0,15688;0,16190;0,153065
785;1426;283;293;0,18080;0,16239;0,168125
795;1296;287;266;0,16021;0,16057;0,148817
805;1729;322;342;0,20846;0,17570;0,186612
815;1747;295;401;0,20549;0,15704;0,213469
825;2011;343;414;0,23084;0,17819;0,215079
835;1898;282;436;0,21269;0,14302;0,221116
845;2270;346;456;0,24839;0,17134;0,225817
855;2429;371;521;0,25960;0,17945;0,252006
865;2576;384;526;0,26899;0,18147;0,248576
875;2193;319;491;0,22379;0,14733;0,226763
885;2388;350;546;0,23821;0,15801;0,246498
895;2192;335;496;0,21380;0,14788;0,218949
905;2303;351;521;0,21969;0,15154;0,224930
915;2255;390;528;0,21044;0,16471;0,222997
925;2172;386;487;0,19833;0,15952;0,201258
935;2352;415;521;0,21020;0,16785;0,210728
945;2397;436;475;0,20971;0,17264;0,188078
955;2711;443;591;0,23224;0,17175;0,229133
965;2583;420;578;0,21671;0,15948;0,219473
975;2557;402;582;0,21015;0,14953;0,216482
985;2865;449;642;0,23071;0,16364;0,233975
995;2574;459;531;0,20313;0,16394;0,189651
1005;2580;466;542;0,19957;0,16314;0,189747
1015;2764;497;613;0,20962;0,17058;0,210395
1025;2599;504;564;0,19328;0,16963;0,189819
1035;2399;467;569;0,17497;0,15415;0,187819
1045;2027;513;436;0,14502;0,16611;0,141176
1055;2408;512;563;0,16903;0,16266;0,178859
1065;2120;513;455;0,14603;0,15993;0,141847
1075;2221;553;478;0,15016;0,16921;0,146258
1085;2041;516;448;0,13546;0,15499;0,134563
1095;2313;563;478;0,15072;0,16603;0,140964
1105;2294;576;515;0,14679;0,16680;0,149139
1115;2128;575;470;0,13373;0,16354;0,133677
1125;2247;583;495;0,13871;0,16288;0,138296
1135;1885;538;417;0,11432;0,14767;0,114460
1145;2052;618;428;0,12229;0,16668;0,115436
1155;1911;624;413;0,11192;0,16540;0,109470
1165;1976;662;459;0,11375;0,17247;0,119583
1175;1837;617;402;0,10396;0,15802;0,102958
1185;1942;667;411;0,10805;0,16796;0,103494
1195;1757;614;387;0,09613;0,15203;0,095826
1205;2074;720;452;0,11160;0,17533;0,110071
1215;1600;668;363;0,08468;0,16000;0,086949
1225;1828;648;389;0,09517;0,15269;0,091661
1235;1753;748;350;0,08980;0,17341;0,081141
1245;1783;683;421;0,08987;0,15581;0,096040
1255;40;12;6;0,00198;0,00269;0,001347
1265;0;0;0;0,00000;0,00000;0,000000
1275;0;0;0;0,00000;0,00000;0,000000
