x;y;z;E;n;objname;pgc;al2000;de2000;r
-17;26;15;1;1;SDSSJ081609.03+252028.8;3446892;8,2691784;25,3410535;792513,373201461
-12;15;36;1;1;PGC2621420;2621420;8,6165713;61,6207495;946916,124167016
-24;28;18;1;0;PGC1780939;1780939;8,6635596;26,5670468;942433,972224305
-20;23;8;1;1;PGC024616;24616;8,7593713;16,0968134;728338,73701204
-13;14;25;1;1;PGC024635;24635;8,7672455;52,5331663;734537,58292109
-9;8;27;1;1;2MASXJ09121330+6550240;3739161;9,203676;65,8397386;672979,139753918
-14;7;22;1;0;PGC2451470;2451470;10,1829447;53,8098301;638305,110919039
-23;11;14;1;1;PGC1859816;1859816;10,280756;29,2312364;684342,564627027
-18;7;20;1;0;PGC2289585;2289585;10,5835503;46,9333073;645865,053483624
-21;6;31;1;1;PGC032317;32317;10,8088627;54,0787878;868820,73297748
-36;9;14;1;0;PGC1633496;1633496;11,0112864;20,6796638;901473,580084223
-36;9;18;1;1;PGC1778353;1778353;11,0491962;26,4931963;950354,504176894
-29;7;9;1;0;2MASXJ11062823+1720452;3765932;11,1078276;17,3455818;719009,838105793
-27;6;33;1;1;PGC2358867;2358867;11,1441635;49,9664454;993864,285838874
-40;8;14;1;1;PGC1583175;1583175;11,2216789;19,1776656;993484,147444161
-32;5;17;1;1;PGC1806156;1806156;11,3336473;27,3757161;833549,553691472
-18;2;22;1;1;PGC2359685;2359685;11,4992854;49,9947433;650001,524541884
-10;0;24;1;1;PGC2686676;2686676;11,6553838;66,3884905;603889,098907007
-20;1;24;1;0;PGC2381457;2381457;11,6980439;50,7620099;717501,047666073
-40;2;12;1;1;PGC1526322;1526322;11,7791553;17,1698293;950288,998006443
-39;2;12;1;0;PGC1525866;1525866;11,7849744;17,1523714;940536,140188816
-30;1;9;1;0;PGC3090505;3090505;11,7948062;16,4748049;719072,526741943
-27;0;25;1;0;PGC037133;37133;11,862876;43,4240679;851333,445065144
-40;0;12;1;1;SDSSJ115522.58+165051.7;4302337;11,9229302;16,8476465;958194,452967534
-33;0;10;1;1;PGC1548752;1548752;11,9250087;18,0488944;783124,941442658
-35;13;10;1;1;SDSSJ103618.74+152310.0;5094529;10,6052056;15,3861348;899436,842868339
-22;16;23;1;0;PGC027119;27119;9,5496533;39,3304118;825585,530174292
-33;11;18;1;0;PGC1804586;1804586;10,7671266;27,325188;901551,737830133
-23;12;29;1;1;2MASXJ10064582+4837425;3441607;10,1127215;48,6281649;895869,013063387
-15;14;25;1;1;PGC3132502;3132502;9,0712514;51,0610548;750132,276082593
-17;29;25;1;1;PGC2077374;2077374;8,0358621;36,2469636;968059,199128717
-13;1;22;1;1;PGC035441;35441;11,5020894;58,4348796;603830,391305199
-28;6;17;1;1;PGC033683;33683;11,1240498;30,0102626;765592,29211459
-19;6;20;1;0;PGC032138;32138;10,7686787;44,7246832;657381,792180707
-13;11;23;1;0;PGC026032;26032;9,2332047;52,2334141;655567,677494591
