Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
111358;48191;4,6142;24134;24307;23976
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
505;1311;168;272;0,40163;0,23748;0,384490
515;1239;155;286;0,36498;0,21068;0,388733
525;1170;163;250;0,33165;0,21319;0,326980
535;1185;179;250;0,32346;0,22545;0,314871
545;900;178;200;0,23673;0,21604;0,242738
555;1271;193;266;0,32238;0,22588;0,311313
565;1283;199;275;0,31401;0,22473;0,310554
575;1389;197;299;0,32823;0,21480;0,326015
585;1420;232;290;0,32418;0,24439;0,305484
595;1325;207;299;0,29241;0,21078;0,304467
605;1492;201;349;0,31847;0,19797;0,343731
615;1518;232;304;0,31357;0,22113;0,289752
625;1557;230;338;0,31142;0,21226;0,311933
635;1280;233;252;0,24801;0,20831;0,225298
645;1579;268;348;0,29653;0,23223;0,301554
655;1085;226;240;0,19759;0,18990;0,201666
665;1376;306;276;0,24310;0,24945;0,224994
675;1616;276;355;0,27711;0,21838;0,280883
685;1496;280;336;0,24909;0,21512;0,258145
695;1619;273;359;0,26187;0,20375;0,267936
705;1659;303;377;0,26078;0,21977;0,273444
715;1635;323;324;0,24987;0,22777;0,228475
725;1590;309;353;0,23634;0,21193;0,242106
735;1555;312;331;0,22489;0,20820;0,220882
745;1486;338;311;0,20918;0,21954;0,202002
755;1428;359;297;0,19573;0,22704;0,187832
765;1264;354;273;0,16875;0,21807;0,168169
775;1385;388;264;0,18016;0,23288;0,158456
785;1314;393;261;0,16660;0,22991;0,152689
795;1389;369;306;0,17171;0,21047;0,174540
805;1531;394;316;0,18459;0,21919;0,175794
815;1889;406;417;0,22219;0,22035;0,226323
825;1666;385;369;0,19124;0,20392;0,195446
835;2202;434;498;0,24675;0,22440;0,257492
845;2463;457;533;0,26951;0,23073;0,269105
855;2087;413;440;0,22305;0,20367;0,216985
865;2490;462;546;0,26001;0,22260;0,263069
875;2344;481;519;0,23920;0,22648;0,244377
885;2289;430;519;0,22834;0,19792;0,238885
895;2364;450;527;0,23058;0,20252;0,237177
905;2233;508;454;0,21301;0,22360;0,199833
915;2203;479;484;0,20558;0,20625;0,208407
925;2272;536;503;0,20746;0,22583;0,211931
935;2357;517;510;0,21065;0,21319;0,210308
945;2287;536;454;0,20009;0,21638;0,183274
955;2655;541;567;0,22744;0,21385;0,224123
965;2762;561;605;0,23173;0,21718;0,234213
975;2693;585;578;0,22133;0,22185;0,219194
985;2657;579;563;0,21396;0,21514;0,209192
995;2661;616;585;0,21000;0,22431;0,213020
1005;2677;610;587;0,20708;0,21772;0,209515
1015;2642;582;564;0,20036;0,20366;0,197359
1025;2593;661;559;0,19283;0,22681;0,191811
1035;2376;648;509;0,17329;0,21807;0,171296
1045;2249;675;520;0,16091;0,22283;0,171665
1055;2085;678;458;0,14636;0,21960;0,148344
1065;2141;687;441;0,14748;0,21836;0,140168
1075;2196;672;452;0,14847;0,20963;0,141004
1085;2147;715;457;0,14249;0,21896;0,139948
1095;2331;765;501;0,15189;0,23001;0,150633
1105;0;0;0;0,00000;0,00000;0,000000
1115;0;0;0;0,00000;0,00000;0,000000
