Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
143416;61163;4,6851;30611;30952;30025
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
405;1179;77;176;0,56157;0,17183;0,392755
415;962;107;174;0,43639;0,22741;0,369805
425;1325;108;203;0,57311;0,21886;0,411376
435;1289;107;226;0,53220;0,20698;0,437172
445;1226;111;209;0,48370;0,20518;0,386322
455;1350;108;228;0,50947;0,19095;0,403121
465;949;104;214;0,34290;0,17606;0,362270
475;1266;136;262;0,43838;0,22064;0,425049
485;1067;122;239;0,35439;0,18985;0,371912
495;1049;129;229;0,33448;0,19271;0,342099
505;1376;142;290;0,42154;0,20381;0,416239
515;1263;145;287;0,37205;0,20012;0,396091
525;1121;149;253;0,31776;0,19788;0,335993
535;1128;165;232;0,30790;0,21101;0,296694
545;1157;171;230;0,30433;0,21073;0,283442
555;1338;190;292;0,33937;0,22579;0,346998
565;1237;164;249;0,30275;0,18805;0,285517
575;1135;182;231;0,26821;0,20150;0,255745
585;1481;200;317;0,33811;0,21392;0,339061
595;1351;193;279;0,29815;0,19955;0,288470
605;1336;189;293;0,28517;0,18901;0,293014
615;1577;202;351;0,32576;0,19549;0,339695
625;1612;233;347;0,32242;0,21834;0,325163
635;1429;222;311;0,27688;0,20153;0,282322
645;1301;214;286;0,24433;0,18829;0,251640
655;1356;221;339;0,24694;0,18856;0,289234
665;1378;261;266;0,24346;0,21604;0,220177
675;1436;220;335;0,24624;0,17675;0,269135
685;1521;253;336;0,25326;0,19737;0,262115
695;1730;290;349;0,27983;0,21977;0,264478
705;1586;311;311;0,24931;0,22904;0,229043
715;1660;262;351;0,25369;0,18760;0,251321
725;1629;318;353;0,24214;0,22146;0,245829
735;1542;275;344;0,22301;0,18633;0,233087
745;1444;311;286;0,20327;0,20511;0,188620
755;1326;310;287;0,18175;0,19907;0,184299
765;1338;327;282;0,17863;0,20453;0,176385
775;1321;343;265;0,17184;0,20904;0,161502
785;1401;355;260;0,17763;0,21087;0,154443
795;1476;370;323;0,18246;0,21429;0,187070
805;1711;355;370;0,20629;0,20053;0,209000
815;1579;381;317;0,18573;0,20996;0,174695
825;1992;384;389;0,22866;0,20652;0,209208
835;2109;372;460;0,23633;0,19530;0,241502
845;2093;398;434;0,22902;0,20404;0,222491
855;2551;411;510;0,27264;0,20580;0,255373
865;2137;401;439;0,22315;0,19618;0,214768
875;2524;437;509;0,25757;0,20893;0,243354
885;2412;479;491;0,24061;0,22386;0,229473
895;2362;461;485;0,23038;0,21066;0,221632
905;2251;421;527;0,21473;0,18816;0,235532
915;2202;447;457;0,20549;0,19543;0,199807
925;2179;470;485;0,19897;0,20107;0,207489
935;2294;513;486;0,20502;0,21480;0,203493
945;2364;489;491;0,20682;0,20044;0,201259
955;2388;519;478;0,20457;0,20830;0,191849
965;2868;544;624;0,24063;0,21384;0,245283
975;2708;535;550;0,22256;0,20601;0,211783
985;2545;553;506;0,20494;0,20864;0,190904
995;2943;580;640;0,23225;0,21445;0,236631
1005;2685;547;562;0,20770;0,19824;0,203677
1015;2506;553;539;0,19005;0,19649;0,191511
1025;2685;600;545;0,19967;0,20905;0,189883
1035;2133;598;487;0,15557;0,20434;0,166413
1045;2191;596;474;0,15676;0,19978;0,158885
1055;2121;606;463;0,14889;0,19930;0,152270
1065;2133;612;473;0,14693;0,19751;0,152651
1075;2299;685;483;0,15543;0,21698;0,152992
1085;2453;713;502;0,16280;0,22170;0,156093
1095;2102;623;477;0,13697;0,19019;0,145622
1105;2183;664;486;0,13968;0,19906;0,145697
1115;2371;719;498;0,14900;0,21170;0,146628
1125;2085;726;422;0,12871;0,20998;0,122052
1135;2060;730;409;0,12494;0,20743;0,116217
1145;1895;693;403;0,11293;0,19349;0,112521
1155;1874;780;387;0,10975;0,21403;0,106190
1165;2043;759;465;0,11761;0,20471;0,125412
1175;1962;735;418;0,11103;0,19487;0,110825
1185;1736;750;349;0,09659;0,19551;0,090976
1195;2039;816;440;0,11156;0,20917;0,112786
1205;0;0;0;0,00000;0,00000;0,000000
1215;0;0;0;0,00000;0,00000;0,000000
