Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
143388;69243;4,3876;32680;33012;32142
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
405;1185;97;201;0,56443;0,20272;0,420064
415;1081;109;213;0,49038;0,21695;0,423950
425;1121;102;214;0,48487;0,19358;0,406133
435;1450;117;254;0,59868;0,21195;0,460138
445;1082;111;234;0,42688;0,19215;0,405069
455;1255;122;252;0,47361;0,20201;0,417265
465;1148;140;240;0,41480;0,22195;0,380488
475;1126;118;279;0,38990;0,17928;0,423890
485;1119;142;242;0,37167;0,20694;0,352670
495;1145;155;239;0,36509;0,21685;0,334368
505;1229;146;265;0,37651;0,19625;0,356206
515;1481;171;364;0,43626;0,22101;0,470463
525;972;153;201;0,27552;0,19029;0,249986
535;1080;191;228;0,29480;0,22875;0,273065
545;1235;187;266;0,32485;0,21582;0,306993
555;1110;173;254;0,28154;0,19253;0,282675
565;1204;174;288;0,29467;0,18685;0,309269
575;1461;213;315;0,34524;0,22084;0,326600
585;1382;212;308;0,31551;0,21236;0,308518
595;1309;202;284;0,28888;0,19560;0,274996
605;1449;233;326;0,30929;0,21822;0,305316
615;1554;222;354;0,32101;0,20121;0,320845
625;1519;249;339;0,30382;0,21852;0,297497
635;1419;210;333;0,27495;0,17853;0,283100
645;1231;238;267;0,23118;0,19611;0,220006
655;1423;251;345;0,25914;0,20056;0,275664
665;1407;254;333;0,24858;0,19689;0,258134
675;1496;264;355;0,25653;0,19863;0,267094
685;1555;283;363;0,25892;0,20675;0,265198
695;1589;316;337;0,25702;0,22427;0,239169
705;1641;279;366;0,25796;0,19243;0,252434
715;1640;292;376;0,25064;0,19580;0,252128
725;1631;332;352;0,24243;0,21652;0,229568
735;1482;312;326;0,21433;0,19798;0,206866
745;1438;326;332;0,20242;0,20135;0,205055
755;1421;340;337;0,19477;0,20447;0,202666
765;1421;348;323;0,18971;0,20385;0,189202
775;1237;377;280;0,16091;0,21517;0,159809
785;1502;402;324;0,19043;0,22363;0,180240
795;1320;376;272;0,16318;0,20394;0,147530
805;1539;395;341;0,18555;0,20895;0,180389
815;1763;388;387;0,20737;0,20025;0,199730
825;1915;430;400;0,21982;0,21657;0,201465
835;2081;447;397;0,23319;0,21978;0,195193
845;2202;423;494;0,24095;0,20308;0,237170
855;2422;442;555;0,25886;0,20727;0,260260
865;2300;435;538;0,24017;0,19930;0,246489
875;2360;495;466;0,24083;0,22163;0,208649
885;2226;454;487;0,22205;0,19871;0,213152
895;2321;465;552;0,22638;0,19900;0,236233
905;2221;432;530;0,21187;0,18081;0,221833
915;2371;545;526;0,22126;0,22315;0,215373
925;2287;480;532;0,20883;0,19231;0,213145
935;2263;496;524;0,20225;0,19449;0,205474
945;2487;534;604;0,21759;0,20499;0,231858
955;2470;500;584;0,21160;0,18794;0,219510
965;2903;572;664;0,24356;0,21057;0,244434
975;2581;546;592;0,21213;0,19689;0,213482
985;2554;549;609;0,20567;0,19398;0,215176
995;2670;598;561;0,21071;0,20706;0,194252
1005;2759;593;622;0,21342;0,20127;0,211109
1015;2620;605;593;0,19869;0,20131;0,197320
1025;2622;619;612;0,19499;0,20197;0,199688
1035;2363;637;526;0,17235;0,20385;0,168327
1045;2163;649;482;0,15475;0,20373;0,151308
1055;2262;674;505;0,15878;0,20759;0,155538
1065;2070;640;491;0,14259;0,19343;0,148399
1075;2143;675;479;0,14488;0,20023;0,142091
1085;2412;713;570;0,16008;0,20762;0,165983
1095;2249;651;541;0,14655;0,18612;0,154674
1105;2158;738;501;0,13808;0,20720;0,140657
1115;2167;740;483;0,13618;0,20405;0,133182
1125;2389;845;498;0,14748;0,22888;0,134888
1135;1902;749;455;0,11536;0,19931;0,121079
1145;2036;801;437;0,12133;0,20945;0,114267
1155;1879;800;428;0,11005;0,20558;0,109984
1165;1806;771;437;0,10396;0,19474;0,110377
1175;1924;797;422;0,10888;0,19789;0,104782
1185;2063;913;494;0,11478;0,22289;0,120598
1195;1915;837;442;0,10477;0,20093;0,106105
1205;0;0;0;0,00000;0,00000;0,000000
1215;0;0;0;0,00000;0,00000;0,000000
