Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
45341;18625;4,8041;9438;9542;9362
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
555;1110;192;222;0,28154;0,23396;0,270513
565;1204;182;269;0,29467;0,21399;0,316283
575;1461;236;274;0,34524;0,26792;0,311054
585;1382;232;284;0,31551;0,25445;0,311479
595;1309;212;285;0,28888;0,22476;0,302157
605;1449;255;283;0,30929;0,26149;0,290200
615;1554;238;330;0,32101;0,23618;0,327481
625;1519;256;329;0,30382;0,24598;0,316125
635;1419;236;302;0,27495;0,21968;0,281114
645;1231;249;257;0,23118;0,22465;0,231866
655;1423;305;294;0,25914;0,26683;0,257210
665;1407;296;249;0,24858;0,25123;0,211339
675;1496;290;326;0,25653;0,23890;0,268556
685;1555;308;327;0,25892;0,24637;0,261572
695;1589;318;316;0,25702;0,24711;0,245551
705;1641;316;330;0,25796;0,23863;0,249207
715;1640;318;333;0,25064;0,23347;0,244488
725;1631;345;336;0,24243;0,24636;0,239932
735;1482;313;302;0,21433;0,21747;0,209825
745;1438;351;284;0,20242;0,23737;0,192058
755;1421;339;332;0,19477;0,22322;0,218610
765;1421;373;276;0,18971;0,23923;0,177016
775;1237;440;233;0,16091;0,27496;0,145606
785;1502;400;285;0,19043;0,24364;0,173593
795;1320;392;292;0,16318;0,23280;0,173410
805;1539;406;337;0,18555;0,23516;0,195193
815;1763;409;358;0,20737;0,23112;0,202299
825;1915;434;412;0,21982;0,23934;0,227204
835;2081;453;438;0,23319;0,24387;0,235792
845;2202;448;467;0,24095;0,23550;0,245488
855;0;0;0;0,00000;0,00000;0,000000
865;0;0;0;0,00000;0,00000;0,000000
