Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
134545;74311;4,0742;33024;33339;32960
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
555;1110;158;286;0,28154;0,16327;0,295548
565;1204;182;250;0,29467;0,18148;0,249282
575;1461;188;365;0,34524;0,18100;0,351403
585;1382;179;378;0,31551;0,16649;0,351584
595;1309;182;326;0,28888;0,16364;0,293111
605;1449;221;343;0,30929;0,19219;0,298286
615;1554;246;328;0,32101;0,20703;0,276041
625;1519;236;348;0,30382;0,19231;0,283576
635;1419;216;341;0,27495;0,17051;0,269189
645;1231;221;275;0,23118;0,16909;0,210409
655;1423;266;326;0,25914;0,19736;0,241872
665;1407;246;336;0,24858;0,17707;0,241850
675;1496;263;368;0,25653;0,18374;0,257094
685;1555;267;368;0,25892;0,18113;0,249642
695;1589;277;376;0,25702;0,18254;0,247782
705;1641;267;413;0,25796;0,17100;0,264499
715;1640;269;412;0,25064;0,16749;0,256529
725;1631;311;391;0,24243;0,18834;0,236784
735;1482;278;362;0,21433;0,16380;0,213298
745;1438;293;378;0,20242;0,16804;0,216786
755;1421;317;358;0,19477;0,17702;0,199913
765;1421;329;328;0,18971;0,17895;0,178404
775;1237;339;325;0,16091;0,17966;0,172240
785;1502;395;361;0,19043;0,20404;0,186475
795;1320;328;343;0,16318;0,16519;0,172748
805;1539;352;391;0,18555;0,17290;0,192061
815;1763;380;416;0,20737;0,18211;0,199357
825;1915;386;477;0,21982;0,18052;0,223082
835;2081;385;518;0,23319;0,17577;0,236489
845;2202;398;554;0,24095;0,17743;0,246974
855;2422;419;612;0,25886;0,18245;0,266485
865;2300;426;533;0,24017;0,18123;0,226751
875;2360;419;580;0,24083;0,17420;0,241138
885;2226;440;529;0,22205;0,17882;0,214993
895;2321;435;578;0,22638;0,17286;0,229687
905;2221;396;570;0,21187;0,15390;0,221530
915;2371;502;584;0,22126;0,19086;0,222037
925;2287;485;569;0,20883;0,18043;0,211682
935;2263;481;553;0,20225;0,17514;0,201352
945;2487;499;642;0,21759;0,17787;0,228837
955;2470;470;650;0,21160;0,16404;0,226862
965;2903;533;713;0,24356;0,18219;0,243719
975;2581;505;650;0,21213;0,16910;0,217650
985;2554;535;650;0,20567;0,17552;0,213254
995;2670;583;609;0,21071;0,18745;0,195806
1005;2759;553;733;0,21342;0,17428;0,231008
1015;2620;557;636;0,19869;0,17210;0,196508
1025;2622;636;609;0,19499;0,19269;0,184512
1035;2363;603;586;0,17235;0,17918;0,174130
1045;2163;594;515;0,15475;0,17314;0,150117
1055;2262;647;560;0,15878;0,18504;0,160154
1065;2070;646;496;0,14259;0,18130;0,139200
1075;2143;630;565;0,14488;0,17353;0,155628
1085;2412;668;612;0,16008;0,18062;0,165481
1095;2249;655;508;0,14655;0,17389;0,134863
1105;2158;663;526;0,13808;0,17284;0,137125
1115;2167;711;508;0,13618;0,18204;0,130068
1125;2389;711;608;0,14748;0,17882;0,152917
1135;1902;728;452;0,11536;0,17989;0,111687
1145;2036;731;505;0,12133;0,17749;0,122613
1155;1879;766;461;0,11005;0,18278;0,110000
1165;1806;755;437;0,10396;0,17707;0,102491
1175;1924;730;504;0,10888;0,16831;0,116201
1185;2063;861;464;0,11478;0,19517;0,105181
1195;1915;788;454;0,10477;0,17565;0,101199
1205;1894;805;470;0,10191;0,17647;0,103034
1215;1842;863;455;0,09749;0,18609;0,098110
1225;1639;832;429;0,08533;0,17649;0,091000
1235;1760;814;400;0,09016;0,16988;0,083480
1245;1731;889;404;0,08725;0,18257;0,082966
1255;0;0;0;0,00000;0,00000;0,000000
1265;0;0;0;0,00000;0,00000;0,000000
